Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Ohishi Brandy Cask,"Lemon, lime, ripening apple, spring florals, clementine, and pear, among lilting sweet brandy notes. Calming, contemplative, and restful aromas. The mouthfeel is slightly musty, almost granular, with creamy light vanilla and juicy lemon and lime. The tip of the tongue burns brightly with warm spices. It grows heavier, the tastes shifting to lemon bonbons as the spice is annulled. A dying gasp of lemon peel, candy sweetness, and aromatic spices.",86 points,Japanese  , Jonny McCormick ,  $75,Winter 2017,41.6%
Nikka 12 year old,"This blend is soft and quite sweet, with low levels of spice and that characteristic Nikka richness behind, a classic fist in a velvet glove. Ripe, round, and generous, there’s cocoa and butterscotch, with plenty of persimmon and nutmeg. Lush, round, and balanced; a classic Japanese blend. This will become the core blend in the range, and should be appearing in the U.S., hopefully, in 2015. ¥5,000",85 points,Japanese  , Dave Broom ,  $44,Winter 2014,43%
Chichibu Chibidaru 2009,"Chibidaru is a Japanese slang term meaning “small,” which is appropriate given the size of the cask—quarter-size—used for maturing whisky from a chibidaru distillery. This has the intensity of youth with some lemon meringue pie, pomelo, and hint of night-scented stocks. As the nose suggests, this is a wee (chibidaru) sweetie with mouthwatering citrus character and soft-centered sweetness moving to mace, strawberry, and a popping candy finish. Akuto-san is making some great whisky. £95",85 points,Japanese  , Dave Broom ,  $152,Winter 2013,54.5%
Chichibu On The Way,"Lifted, quite estery and delicate, with fruit blossom, preserved lemon, and light minerality. It needs water; when added, out burst blossoms, brioche, and fondant icing. On the palate, there’s a frothy pink party going on: marshmallows, flowers, raspberry, and cream. Water adds silkiness, while the finish throws out yuzu, then tightens in the manner typical for a young whisky (it’s 3 years old). Not only on the way, but getting there. ¥25,000/700 ml",85 points,Japanese  , Dave Broom ,  $245,Summer 2014,58.3%
Mars Iwai Tradition,"Prunes, barbecue seasonings, and hoisin sauce, sweetened by rich caramel; soak up the heady aromatics. Gloopy texture on the palate explodes into life with burnt orange, dried mango, and banoffee pie, spiraling down to black licorice, burnt oak, and Brazil nut. The name acknowledges Kiichiro Iwai’s role in ushering in whisky making for Hombo Shuzo in the 1960s, drawing on the notes diligently recorded by Masataka Taketsuru in Scotland.",85 points,Japanese  , Jonny McCormick ,  $55,Fall 2017,40%
Fukano 12 year old Single Cask No. 273,"Aromas of grapefruit, orange peel, and burnt sugar crackling atop crème brûlée, with ground almond and tarragon. The texture is mouth drawing and astringent, like it’s warping the dimensions of your mouth for its own ends. Dark chocolate and bitter plum transition into cocoa powder and plum pudding with traces of oak. Persistent heat, with herbal notes and chili spice on the finish. Leave the water aside. (456 bottles)",85 points,Japanese  , Jonny McCormick ,  $100,Winter 2017,42.3%
Kurayoshi 3 year old,"Aged for just 3 years, the nose is a fresh fruit salad of green apple, honeydew, lychee, and kumquat. The green fruits and tangy citrus on the palate fall under attack from peppery arugula leaves and active spices. A structure as light as cotton candy; the flavor of orange taffy is all that remains when the dust settles. The finish is dry and peppery, with a slight herbal note. (1,440 bottles)",85 points,Japanese  , Jonny McCormick ,  $65,Spring 2018,46%
Ichiro’s Malt Peated (distilled at Chichibu),"Distilled 2011, bottled 2015. A warming, cozy, campfire of a nose, with everyone swathed in blankets as some hickory bursts into flames. There’s also an iris-like floral note and a vegetal thing at the back. With water, a nuance of cereal and wet dog. The palate moves into a rich, oily texture, then pulls back into hot embers of scented wood, and raspberry. The smoke is all-pervading, scented but sweet. Water brings out peppermint and smoky bacon. Hugely impressive for a 4 year old. £95",84 points,Japanese  , Dave Broom ,  $145,Winter 2015,62.5%
Chichibu The Peated 2013,"Can you get sweet peat? For that’s what we have here. Very fragrant, with delicate wood smoke mixing with citrus and roasted barley. When water is added, there’s a mossy note and the sweet warmth of cow’s breath. Continues in this vein in the mouth, with the peat now becoming like hot embers. Again, citric on the end, though more like Amalfi lemon with light bite. Very good. ¥24,000/700 ml",84 points,Japanese  , Dave Broom ,  $235,Summer 2014,53.5%
Chita Single Grain,"At the moment, this is only available through Suntory’s Whisky Shops ‘W’ in Osaka and Tokyo, but as these act as mini-testing outlets, this grain whisky is one that should be noted. The nose is buttery and needs water to allow a flow of fudge, orange peel, crème brûlée, and green banana. It’s a bit like an alcohol-laced Danish. In the mouth there’s chewy toffee-cream sweetness offset by tart red fruits. A lovely, poised grain. ¥3,150",84 points,Japanese  , Dave Broom ,  $33,Summer 2013,48%
Komogatake The Revival 2011,"Aged in a mix of sherry and American oak casks, this is the latest work in progress from the reopened Mars distillery. The nose is a little closed, with some light oak, a touch of smoke, some fresh barley, and light fruit over the sweet core typical of the distillery. Just a touch of plastic, indicative of youth. The palate is immediate, and bursting with sweetness, exotic fruits, and clean acidity. Welcome back, Mars! £110",84 points,Japanese  , Dave Broom ,  $161,Summer 2015,57%
White Oak Akashi Japanese Single Malt,"A winsome, floral nose, with icing sugar, green tea, sweet toffee, and juicy fruits including apricot, dragon fruit, and ripe watermelon. The honey-fruity core of tangerine, watermelon, orange oils, Starburst candies, and a little caramel imports attractive flavors, the balance and complexity given heft by the white pepper and dried chili notes. The drawback is the lack of body and texture. The end brings a flurry of pepper and burnt oak, and a long tail of melon and spices.",83 points,Japanese  , Jonny McCormick ,  $100,Winter 2016,46%
Hakushu Sherry Cask,"Verging on the opaque, with a powerful resinous hit bringing to mind a luthier’s workshop with added Morello cherry, Turkish delight, and bitter chocolate, but on the tongue it is surprisingly sweet rather than tannic, with a supple feel, albeit with dried fruits dominating. This is a great example of what a small amount of heavy sherry can give to a vatting, but is it Hakushu? Sherry bomb lovers will adore it. £100",83 points,Japanese  , Dave Broom ,  $162,Winter 2013,48%
Hanyu 5 of Diamonds 2000,"This, with finishing time in sherry wood, is the most straightforward of the quartet, showing lovely touches of Seville orange rather than heavy dried fruits. With water there’s a slight meaty/new leather note that seems a more natural companion to Hanyu’s density, here with an extra earthy note from black cherries, juniper, and star anise. Water triggers tannins but there’s enough fruit here to balance. The most successful of the four, with the wood in balance. ¥8,500",83 points,Japanese  , Dave Broom ,  $88.00,Summer 2013,57%
Hanyu 6 of Hearts 1991,"Finished off in a 500-liter American oak puncheon, this has typical Hanyu robustness with a burnt edge hinting at roasted corn. A little touch of fresh varnish and wax polish adds a savory air before fruits come through: strawberry, sloe, and plum. The palate is, to this mouth, very, very hot. Water reveals more dense fruit, and on the palate there’s plenty of toasted oak, stewed rhubarb, and dry-roasted peanuts on the finish. A very solid example.¥12,000",83 points,Japanese  , Dave Broom ,  $125.00,Summer 2013,57.9%
White Oak Akashi Meïsei Blended Whisky,"Spicy and savory with dark soy sauce, the blackened bark of a hunk of roasted meat, peppercorn, fennel, and faint lemon zest. Lemon meringue pie and tangerine flavors; quite sweet, with lovely flowing spices throughout, and a few green notes, but when the creamy fudge comes in, the ride is over. Compared with the standard blend, this has greater balance, benefiting from the absence of the more abrasive spices and herbal aromas. Abrupt finish, leaving a hollow spiciness behind. £35",82 points,Japanese  , Jonny McCormick ,  $44,Winter 2016,40%
Chichibu The First distilled 2008 (bottled 2011),"Ichiro Akuto, whose family previously owned the now demolished Hanyu distillery, and have five centuries of experience in sake production, opened his boutique distillery outside the town of Chichibu just over three years ago. This is the first official release of whisky (rather than new make) and it’s delicious. Lightly scented with touches of lemongrass, fennel pollen, sweet pear, and cookie dough, it has lovely balance and weight. Water allows it to spread over the tongue. One to watch. £90",81 points,Japanese  , Dave Broom ,  $144.00,Spring 2012,61.8%
Chichibu The Floor Malted 3 year old,"Another work in progress from the ever-enterprising Ichiro Akuto. This is made from barley that was malted by him and his team in Norfolk. Unusually for a Japanese malt, the aroma is, yes, malty, but it is more chaff-like than nutty. Chichibu’s floral element is there alongside grape must, verjus, and herbs. The palate is a fascinating mix of the very sweet with balancing dry and sour notes. A distillery that’s growing up fast. £90",81 points,Japanese  , Dave Broom ,  $140.00,Spring 2013,50.5%
Yamazaki Sherry Cask,"No doubts from the color what type of cask this is: first-fill, sherry. The nose shows masses of bitter chocolate, fresh coffee grounds, black cherry, and molasses cut with humid aromas of damp earth, nut, and dried fruit. This bittersweet theme continues on the tongue, but its sweetness surprises, with the spirit pushing the tannins away just enough to reveal itself. If you like savory power, this is for you. For me, while it’s instructive, it’s too grippy. £70",81 points,Japanese  , Dave Broom ,  $112,Winter 2012,48%
Taketsuru 12 year old,"“At last!” they cry. Anchor Distilling is bringing in whiskies from Nikka. I taunted you with the first of the initial brace in 2010, the exemplary Yoichi 15 year old (a hefty 95 points). The second is the firm’s vatted malt, Taketsuru 12 year old. A mix of Yoichi and Miyagikyo distillates, it is the latter which is to the fore here: a honey-laden mix of cut flowers, persimmon, vanilla, and apple. More are on their way.",81 points,Japanese  , Dave Broom ,  $70.00,Spring 2013,40%
